은행나무,양버즘나무,느티나무,왕벚나무,은단풍나무,메타세콰이어,회화나무,가죽나무,감나무,수양버들,튜울립나무,칠엽수,포플러,느릅나무,살구나무,무궁화,소나무,목련,이팝나무,기타
5082,1421,968,1128,0,1831,222,0,0,0,0,0,0,0,0,0,0,0,0,0
5081,1416,971,1159,0,1838,222,0,0,0,0,0,0,0,0,0,0,0,85,0
5043,1415,1123,1773,0,1834,222,0,0,0,0,0,0,0,0,0,252,0,85,0
5037,1415,1123,1797,0,1832,222,0,0,0,0,0,0,0,0,0,250,0,85,0
4887,1295,1120,1808,0,1824,219,0,0,0,0,0,0,0,0,0,250,0,149,30
4767,830,1007,1920,0,1597,328,0,0,0,0,0,0,0,0,0,251,0,372,57
4455,789,939,1824,0,1590,302,0,0,0,0,0,0,0,0,0,255,0,375,57
4128,678,939,1870,0,1613,302,0,0,0,0,0,0,0,0,0,254,0,383,66
4127,587,939,1969,0,1670,213,0,0,0,0,0,0,0,0,0,253,0,399,77
3974,584,921,1921,0,1668,213,0,0,0,0,0,0,0,0,59,282,0,493,531
3974,729,919,2113,0,1664,213,0,0,0,0,0,0,0,0,59,282,0,493,568
3978,720,919,2112,0,1650,213,0,0,0,0,0,0,0,0,59,282,0,493,568
3982,717,917,2111,0,1640,206,0,0,0,0,0,0,0,0,59,282,0,490,568
3977,706,2231,2508,0,1651,201,0,0,0,0,110,0,0,0,59,282,0,1426,568
