은행나무,양버즘나무,느티나무,왕벚나무,은단풍나무,메타세콰이어,회화나무,가죽나무,감나무,수양버들,튜울립나무,칠엽수,포플러,느릅나무,살구나무,무궁화,소나무,목련,이팝나무
1798,3664,628,0,3,0,157,2,33,0,79,87,0,0,0,0,0,0,156
1805,3259,909,100,4,0,176,2,31,0,80,82,0,0,0,0,18,0,182
1804,3247,916,99,4,0,175,2,27,0,80,76,0,0,0,0,18,0,183
1794,3218,905,99,4,0,175,2,27,0,80,76,0,0,0,0,18,0,204
1792,3230,903,99,4,0,175,2,28,45,80,75,0,0,0,0,19,0,204
1623,3183,934,252,3,0,150,2,10,0,80,25,0,0,0,0,22,0,180
1519,3137,936,368,3,0,163,2,10,0,80,25,0,0,0,0,22,0,193
1698,2845,978,532,2,0,210,0,20,0,79,64,0,0,0,0,20,0,202
1693,2788,973,549,2,0,203,0,25,0,75,64,0,0,0,0,20,113,264
1578,2544,975,554,2,0,156,0,25,0,75,64,0,0,0,0,20,113,619
1576,2486,990,651,2,0,156,0,25,0,75,74,0,0,0,0,20,113,622
1253,2461,1003,863,0,0,153,0,25,0,62,101,0,0,0,0,20,113,724
1253,2336,1020,943,0,0,153,0,25,0,62,101,0,0,0,0,20,113,734
1247,2306,1057,940,0,0,153,0,25,0,58,101,0,0,0,0,20,113,760
